,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST5,FTA_RATE_RANK_LAST5,TOV_PCT_RANK_LAST5,OREB_PCT_RANK_LAST5,OPP_EFG_PCT_RANK_LAST5,OPP_FTA_RATE_RANK_LAST5,OPP_TOV_PCT_RANK_LAST5,OPP_OREB_PCT_RANK_LAST5
106,63.0,129.0,0.0,10.0,29.0,12.0,4.0,30.0,16.0,30.0,8.0
107,55.0,107.0,30.0,20.0,8.0,28.0,1.0,8.0,24.0,5.0,17.0
108,49.0,121.0,0.0,8.0,10.0,9.0,7.0,17.0,2.0,21.0,25.0
109,53.0,100.0,30.0,24.0,7.0,20.0,25.0,2.0,26.0,14.0,10.0
110,59.0,110.0,0.0,1.0,14.0,10.0,23.0,4.0,3.0,11.0,4.0
111,50.0,106.0,30.0,13.0,21.0,5.0,22.0,7.0,8.0,28.0,2.0
112,57.0,113.0,0.0,7.0,27.0,18.0,19.0,13.0,14.0,7.0,22.0
113,67.0,127.0,30.0,2.0,11.0,4.0,27.0,19.0,27.0,24.0,5.0
114,62.0,111.0,0.0,2.0,11.0,4.0,27.0,1.0,4.0,19.0,15.0
115,71.0,146.0,30.0,6.0,9.0,6.0,20.0,13.0,14.0,7.0,22.0
116,58.0,106.0,0.0,27.0,28.0,19.0,11.0,17.0,2.0,21.0,25.0
117,49.0,112.0,30.0,24.0,7.0,20.0,25.0,21.0,30.0,4.0,1.0
118,48.0,103.0,0.0,26.0,24.0,14.0,14.0,28.0,20.0,15.0,24.0
119,60.0,123.0,30.0,23.0,23.0,17.0,28.0,24.0,1.0,17.0,13.0
120,49.0,106.0,0.0,15.0,22.0,21.0,29.0,3.0,6.0,3.0,11.0
121,58.0,115.0,30.0,9.0,30.0,30.0,20.0,11.0,13.0,2.0,29.0
122,50.0,108.0,0.0,12.0,20.0,2.0,10.0,22.0,23.0,12.0,16.0
123,52.0,114.0,30.0,3.0,13.0,28.0,2.0,23.0,22.0,26.0,12.0
124,59.0,119.0,0.0,16.0,26.0,13.0,17.0,26.0,19.0,23.0,21.0
125,56.0,113.0,30.0,28.0,25.0,26.0,15.0,15.0,25.0,9.0,7.0
126,49.0,113.0,0.0,29.0,3.0,25.0,3.0,20.0,12.0,29.0,27.0
127,57.0,122.0,30.0,22.0,2.0,3.0,9.0,12.0,29.0,25.0,18.0
128,61.0,125.0,0.0,5.0,12.0,7.0,30.0,29.0,21.0,10.0,3.0
129,58.0,111.0,30.0,19.0,17.0,24.0,6.0,27.0,10.0,6.0,9.0
130,67.0,119.0,0.0,11.0,6.0,11.0,18.0,18.0,15.0,20.0,19.0
131,47.0,95.0,30.0,25.0,19.0,15.0,12.0,16.0,9.0,22.0,20.0
132,58.0,112.0,0.0,21.0,1.0,22.0,16.0,8.0,24.0,5.0,17.0
134,47.0,93.0,0.0,18.0,16.0,16.0,8.0,25.0,28.0,13.0,28.0
135,40.0,84.0,30.0,30.0,4.0,27.0,5.0,10.0,18.0,1.0,23.0
136,73.0,127.0,0.0,22.0,2.0,3.0,9.0,15.0,25.0,9.0,7.0
139,64.0,133.0,30.0,1.0,14.0,10.0,23.0,26.0,19.0,23.0,21.0
143,66.0,120.0,30.0,14.0,18.0,8.0,26.0,3.0,6.0,3.0,11.0
144,57.0,106.0,0.0,17.0,15.0,23.0,13.0,19.0,27.0,24.0,5.0
145,67.0,135.0,30.0,7.0,27.0,18.0,19.0,14.0,7.0,16.0,14.0
147,87.0,139.0,30.0,4.0,5.0,1.0,24.0,10.0,18.0,1.0,23.0
149,58.0,109.0,30.0,5.0,12.0,7.0,30.0,8.0,24.0,5.0,17.0
151,61.0,127.0,30.0,3.0,13.0,28.0,2.0,24.0,1.0,17.0,13.0
153,51.0,95.0,30.0,23.0,23.0,17.0,28.0,16.0,9.0,22.0,20.0
154,59.0,122.0,0.0,6.0,9.0,6.0,20.0,29.0,21.0,10.0,3.0
155,48.0,108.0,30.0,19.0,17.0,24.0,6.0,1.0,4.0,19.0,15.0
156,52.0,118.0,0.0,12.0,20.0,2.0,10.0,11.0,13.0,2.0,29.0
158,63.0,129.0,0.0,8.0,10.0,9.0,7.0,5.0,11.0,8.0,6.0
160,66.0,115.0,0.0,20.0,8.0,28.0,1.0,6.0,17.0,18.0,26.0
164,56.0,128.0,0.0,27.0,28.0,19.0,11.0,25.0,28.0,13.0,28.0
165,71.0,122.0,30.0,30.0,4.0,27.0,5.0,21.0,30.0,4.0,1.0
175,53.0,116.0,30.0,13.0,21.0,5.0,22.0,24.0,1.0,17.0,13.0
