,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST20,FTA_RATE_RANK_LAST20,TOV_PCT_RANK_LAST20,OREB_PCT_RANK_LAST20,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20,PTS_1H_AVG,PTS_AVG
332,PHI,62.0,105.0,0.0,23.0,5.0,1.0,11.0,8.0,19.0,27.0,13.0,58.95,113.75
333,DEN,64.0,111.0,30.0,16.0,16.0,24.0,3.0,19.0,29.0,7.0,28.0,58.6,112.2
334,HOU,40.0,104.0,0.0,29.0,9.0,13.0,6.0,13.0,25.0,17.0,20.0,55.55,114.15
335,BKN,60.0,106.0,30.0,19.0,25.0,15.0,27.0,12.0,27.0,14.0,17.0,54.05,110.65
336,LAC,55.0,115.0,0.0,3.0,12.0,7.0,15.0,1.0,2.0,30.0,11.0,57.8,119.8
337,BOS,39.0,96.0,30.0,5.0,23.0,2.0,25.0,15.0,8.0,15.0,24.0,62.2,120.2
338,UTA,82.0,134.0,0.0,12.0,2.0,28.0,1.0,29.0,12.0,12.0,3.0,62.85,123.85
339,CHA,47.0,122.0,30.0,21.0,29.0,20.0,28.0,28.0,15.0,29.0,10.0,50.75,107.25
340,NOP,63.0,117.0,0.0,15.0,14.0,8.0,9.0,14.0,17.0,26.0,2.0,60.15,117.15
341,MIL,75.0,141.0,30.0,13.0,10.0,3.0,30.0,17.0,16.0,4.0,14.0,59.55,117.7
342,MIN,64.0,112.0,0.0,7.0,7.0,23.0,12.0,26.0,3.0,13.0,18.0,57.85,115.45
343,SAS,52.0,113.0,30.0,25.0,26.0,25.0,10.0,3.0,30.0,6.0,1.0,54.2,111.4
344,LAL,68.0,145.0,0.0,2.0,1.0,4.0,29.0,10.0,18.0,23.0,12.0,63.6,122.7
345,GSW,63.0,144.0,30.0,11.0,30.0,16.0,4.0,9.0,1.0,24.0,26.0,59.8,123.6
346,SAC,63.0,120.0,0.0,4.0,24.0,12.0,18.0,16.0,23.0,25.0,21.0,61.7,120.0
347,DAL,49.0,115.0,30.0,10.0,6.0,10.0,23.0,23.0,20.0,11.0,7.0,58.7,118.1
348,DAL,66.0,148.0,0.0,10.0,6.0,10.0,23.0,30.0,13.0,19.0,16.0,58.7,118.1
349,ATL,66.0,143.0,30.0,24.0,8.0,6.0,7.0,16.0,23.0,25.0,21.0,59.9,118.9
350,HOU,55.0,138.0,0.0,29.0,9.0,13.0,6.0,29.0,12.0,12.0,3.0,55.55,114.15
351,CHA,53.0,104.0,30.0,21.0,29.0,20.0,28.0,12.0,27.0,14.0,17.0,50.75,107.25
352,PHX,80.0,131.0,0.0,1.0,3.0,30.0,22.0,27.0,28.0,5.0,19.0,63.1,121.35
353,IND,70.0,133.0,30.0,9.0,28.0,19.0,16.0,6.0,9.0,21.0,23.0,61.55,118.65
354,LAC,66.0,127.0,0.0,3.0,12.0,7.0,15.0,22.0,5.0,8.0,30.0,57.8,119.8
355,TOR,52.0,107.0,30.0,22.0,15.0,17.0,14.0,15.0,8.0,15.0,24.0,56.55,111.8
356,ORL,59.0,106.0,0.0,18.0,4.0,26.0,5.0,21.0,10.0,2.0,27.0,53.45,108.05
